objectid,id,address,terminal_num,lat,long,nbikes,empty_docks
177404049,351,18th & R St NW,31278,38.912648,-77.041834,13,6
177404050,352,S Joyce & 16th St S,31091,38.859254,-77.063275,7,8
177404051,353,Union Market/6th St & Neal Pl NE,31517,38.908008,-76.996985,7,14
177404052,354,Lee Hwy & N Monroe St,31092,38.896456,-77.104562,6,9
177404053,355,21st St N & N Pierce St,31093,38.898984,-77.078317,4,11
177404054,356,Lee Hwy & N Kirkwood Rd,31094,38.895377,-77.09713,10,5
177404055,357,19th & G St NW,31279,38.898412,-77.043182,0,23
177404056,358,2nd St & Seaton Pl NE,31522,38.914751,-77.00356,6,13
177404057,359,Wilson Blvd & N Illinois St,31902,38.876528,-77.12712,9,6
177404058,364,Army Navy Dr & S Nash St,31095,38.862756,-77.067185,4,6
177404059,365,31st & Water St NW,31293,38.902814,-77.061043,7,10
177404060,367,11th & S St NW,31280,38.913761,-77.027025,20,3
177404061,368,S Walter Reed Dr & 8th St S,31096,38.86612,-77.08787,12,2
177404062,369,2nd & G St NE,31639,38.89967,-77.003666,19,4
177404063,370,8th & O St NW,31281,38.90864,-77.02277,13,5
177404064,371,Georgia & Missouri Ave NW,31411,38.961339,-77.027855,10,9
177404065,373,Oklahoma Ave & D St NE,31712,38.894474,-76.974828,15,4
177404066,374,Maryland Ave & E St NE,31640,38.896134,-76.9929,14,5
177404067,375,New York Ave & Hecht Ave NE,31518,38.915604,-76.983683,16,7
177404068,376,Yuma St & Tenley Circle NW,31316,38.946182,-77.08059,11,8
177404069,377,Connecticut Ave & Chevy Chase Lake Dr,32051,38.994113,-77.076986,11,4
177404070,378,Key West Ave & Siesta Key Way,32052,39.105295,-77.194774,11,4
177404071,379,Lee Hwy & N Woodstock St,31900,38.898301,-77.118009,2,16
177404072,380,Saint Asaph & Madison St,31097,38.812718,-77.044097,6,8
177404073,381,King St Metro North / Cameron St,31098,38.80704,-77.059817,8,7
177404074,382,Madison & N Henry St,31099,38.813485,-77.049468,5,10
177404075,383,Medical Center Metro,32053,38.999378,-77.097882,12,7
177404076,384,Washington Blvd & N Frederick St,31901,38.884829,-77.127671,5,6
177404077,385,Wisconsin Ave & Ingomar St NW,31317,38.958267,-77.084636,3,16
177404078,386,16th & Irving St NW,31122,38.928893,-77.03625,4,15
177404079,387,16th & R St NW,31282,38.912652,-77.036278,7,12
177404080,388,Lyttonsville Rd & Lyttonsville Pl,32054,38.999679,-77.051168,9,6
177404081,389,Woodmont Ave & Strathmore St,32055,38.979875,-77.093522,6,5
177404082,390,14th & L St NW,31283,38.903658,-77.031737,8,11
177404083,391,1st & O St NW,31519,38.908643,-77.012365,1,14
177404084,392,South Capitol & Atlantic St SW,31811,38.831516,-77.008133,8,11
177404085,393,18th & C St NW,31284,38.893511,-77.041544,5,13
177404086,394,22nd & P ST NW,31285,38.909394,-77.048728,15,3
177404087,395,East West Hwy & 16th St,32056,38.995681,-77.038721,11,8
177404088,396,Royal & Wilkes St,31903,38.799267,-77.0447,4,11
177404089,397,14th & Girard St NW,31123,38.925284,-77.032375,9,14
177404090,398,Potomac Ave & Main Line Blvd,31910,38.822738,-77.049265,5,14
177404091,399,11th & O St NW,31286,38.90843,-77.02714,18,1
177404092,400,10th St & L'Enfant Plaza SW,31287,38.884377,-77.025791,7,16
177404093,401,Connecticut Ave & Yuma St NW,31318,38.947156,-77.065115,7,12
177404094,402,2nd St & Massachusetts Ave NE,31641,38.894972,-77.003135,5,17
177404095,403,Radford & Osage St,31908,38.828437,-77.086031,8,15
177404096,404,East Falls Church Metro/Sycamore St & 19th St N,31904,38.884859,-77.155988,5,14
177404097,405,Kennebec St & 11th St N,31905,38.880992,-77.135271,9,6
177404098,406,Commonwealth Ave & Oak St,31906,38.812711,-77.061715,11,7
177404099,407,Commonwealth & E Monroe Ave,31913,38.820058,-77.062821,9,6
177404100,408,4th St & Madison Dr NW,31288,38.890493,-77.017253,9,8
177404101,409,Henry Bacon Dr & Lincoln Memorial Circle NW,31289,38.890544,-77.049379,12,7
177404102,410,17th St & Independence Ave SW,31290,38.888097,-77.038325,3,16
177404103,411,Franklin & S Washington St,31907,38.798133,-77.0487,12,7
177404104,412,Mount Vernon Ave & Four Mile Run Park,31909,38.843422,-77.064016,9,6
177404105,413,New Jersey Ave & L St NW,31642,38.903598,-77.01397,4,19
177404106,414,Mount Vernon Ave & Bruce St,31912,38.841291,-77.063093,8,7
177404107,415,Lee Center,31914,38.797557,-77.053766,6,9
177404108,416,Powhatan St & Bashford Ln,31915,38.818748,-77.047783,12,3
177404109,417,Potomac & Swann Ave,31916,38.829545,-77.047844,13,6
177404110,418,14th & Irving St NW,31124,38.928552,-77.032224,5,26
177404111,419,16th & K St NW,31291,38.90268,-77.035737,4,19
177404112,420,Wisconsin Ave & Brandywine St NW,31319,38.949813,-77.080217,6,19
177404113,421,24th & R St NE / National Arboretum,31520,38.91263,-76.971923,11,8
177404114,422,Division Ave & Foote St NE,31713,38.897407,-76.925907,4,10
